localidade,serie,nome,id,populacao,latitude,longitude
"{'id': '1100015', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""Alta Floresta D'Oeste - RO""}",{'2021': '22516'},Alta Floresta D'Oeste - RO,1100015,22516,-12.47013227818517,-62.27466099603161
"{'id': '1100023', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Ariquemes - RO'}",{'2021': '111148'},Ariquemes - RO,1100023,111148,-9.951890006604936,-62.957255222993844
"{'id': '1100031', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Cabixi - RO'}",{'2021': '5067'},Cabixi - RO,1100031,5067,-13.474878553376353,-60.63980722013748
"{'id': '1100049', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Cacoal - RO'}",{'2021': '86416'},Cacoal - RO,1100049,86416,-11.301287363290804,-61.3247287380724
"{'id': '1100056', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Cerejeiras - RO'}",{'2021': '16088'},Cerejeiras - RO,1100056,16088,-13.203561612721657,-61.260949557620656
"{'id': '1100064', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Colorado do Oeste - RO'}",{'2021': '15213'},Colorado do Oeste - RO,1100064,15213,-13.159153106782568,-60.55024441122719
"{'id': '1100072', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Corumbiara - RO'}",{'2021': '7052'},Corumbiara - RO,1100072,7052,-12.926629419624062,-61.09164645723336
"{'id': '1100080', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Costa Marques - RO'}",{'2021': '19255'},Costa Marques - RO,1100080,19255,-12.14725010240025,-64.05877174324931
"{'id': '1100098', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""Espigão D'Oeste - RO""}",{'2021': '33009'},Espigão D'Oeste - RO,1100098,33009,-11.351342109107142,-60.78483064733634
"{'id': '1100106', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guajará-Mirim - RO'}",{'2021': '46930'},Guajará-Mirim - RO,1100106,46930,-11.305636314199617,-64.53755690253571
"{'id': '1100114', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Jaru - RO'}",{'2021': '51469'},Jaru - RO,1100114,51469,-10.592448063981317,-62.58486557944692
"{'id': '1100122', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Ji-Paraná - RO'}",{'2021': '131026'},Ji-Paraná - RO,1100122,131026,-10.4622205323863,-61.757252672701725
"{'id': '1100130', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""Machadinho D'Oeste - RO""}",{'2021': '41724'},Machadinho D'Oeste - RO,1100130,41724,-9.204091497678762,-62.01037965123399
"{'id': '1100148', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""Nova Brasilândia D'Oeste - RO""}",{'2021': '20504'},Nova Brasilândia D'Oeste - RO,1100148,20504,-11.643119014384837,-62.280237925345496
